,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,Watsa,CD,3.04,29.54,80.1,63,24,5.14,light rain
289,Leningradskiy,RU,69.38,178.42,28.81,98,100,11.59,overcast clouds
290,Ambilobe,MG,-13.2,49.05,84.45,58,82,8.41,broken clouds
291,Toora-Khem,RU,52.47,96.11,31.01,87,0,0.45,clear sky
292,Khandyga,RU,62.67,135.6,26.65,92,60,3.0,broken clouds
293,Karatsu,JP,33.44,129.97,69.01,70,100,7.76,overcast clouds
294,Olinda,BR,-8.01,-34.86,82.4,65,75,11.41,broken clouds
295,Sorong,ID,-0.88,131.25,77.32,88,100,12.71,overcast clouds
296,Urumqi,CN,43.8,87.6,60.8,23,60,4.47,broken clouds
297,Parrita,CR,9.52,-84.32,68.0,100,100,1.12,overcast clouds
298,Cidreira,BR,-30.18,-50.21,58.75,86,100,24.27,overcast clouds
299,Erzin,TR,36.96,36.2,82.0,67,0,14.0,clear sky
300,Tsaratanana,MG,-16.78,47.65,93.11,32,30,7.74,scattered clouds
301,Husavik,IS,66.04,-17.34,44.6,87,79,6.93,broken clouds
302,Ranong,TH,9.97,98.63,78.8,94,40,7.07,scattered clouds
303,Pangnirtung,CA,66.15,-65.71,27.25,92,97,3.2,overcast clouds
304,Lafayette,US,30.23,-92.07,57.99,87,1,4.7,clear sky
305,Asau,RO,46.43,26.4,73.0,74,78,7.02,broken clouds
306,Sanghar,PK,26.05,68.95,100.4,39,0,9.17,clear sky
307,Navrongo,GH,10.9,-1.09,88.75,54,99,4.0,light rain
308,Podporozhye,RU,60.91,34.17,59.13,65,100,8.61,overcast clouds
309,Panaba,MX,21.28,-88.27,77.63,90,100,25.03,overcast clouds
310,Moranbah,AU,-22.0,148.05,62.83,81,0,9.8,clear sky
311,Termoli,IT,41.99,14.99,77.0,45,0,1.99,clear sky
312,Srandakan,ID,-7.94,110.25,76.66,85,100,11.14,overcast clouds
313,Ust-Omchug,RU,61.15,149.63,29.95,89,29,0.81,scattered clouds
314,Grants,US,35.15,-107.85,33.8,43,1,5.03,clear sky
315,Abha,SA,18.22,42.51,82.4,38,40,9.17,scattered clouds
316,Ahipara,NZ,-35.17,173.17,52.32,84,0,4.85,clear sky
317,Anloga,GH,5.79,0.9,87.8,58,20,10.29,few clouds
318,Olafsvik,IS,64.89,-23.71,43.34,83,89,10.33,overcast clouds
319,Mandan,US,46.83,-100.89,36.0,100,0,6.93,clear sky
320,Emba,KZ,48.83,58.14,63.52,37,0,9.66,clear sky
321,Geraldton,AU,-28.77,114.6,60.8,63,0,13.87,clear sky
322,Portland,US,45.52,-122.68,60.01,90,7,1.99,clear sky
323,Hvolsvollur,IS,63.75,-20.22,43.0,81,90,16.11,overcast clouds
324,Mongo,TD,12.18,18.69,90.14,46,47,8.05,scattered clouds
325,Malindi,KE,-3.22,40.12,84.2,66,75,11.41,broken clouds
326,Atbasar,KZ,51.8,68.33,41.58,64,80,14.97,broken clouds
327,Buraydah,SA,26.33,43.98,100.4,15,0,6.93,clear sky
328,Sinnamary,GF,5.38,-52.95,81.99,84,2,7.92,clear sky
329,Bereznik,RU,62.86,42.71,45.97,74,0,4.94,clear sky
330,Udachnyy,RU,66.42,112.4,32.0,94,90,4.47,light snow
331,Dhidhdhoo,MV,6.88,73.1,82.31,73,23,13.15,few clouds
332,Buluang,PH,13.31,123.34,78.42,87,64,2.62,broken clouds
333,Hambantota,LK,6.12,81.12,86.0,70,20,13.87,few clouds
334,Tiznit,MA,29.58,-9.5,79.99,34,7,7.58,clear sky
335,Tiarei,PF,-17.53,-149.33,75.2,73,20,3.36,few clouds
336,Mackenzie,CA,55.3,-123.17,53.6,76,90,4.7,overcast clouds
337,Kavieng,PG,-2.57,150.8,82.49,78,71,17.25,light rain
338,Hohhot,CN,40.81,111.65,39.2,48,9,6.71,clear sky
339,Siavonga,ZM,-16.54,28.71,97.61,23,1,2.82,clear sky
340,Rudbar,AF,30.15,62.6,88.39,12,0,17.0,clear sky
341,Ginda,IN,30.69,78.49,89.6,49,0,1.12,haze
342,Goderich,CA,43.75,-81.72,44.01,88,100,17.65,light rain
343,Jumla,NP,29.27,82.18,56.25,65,8,2.19,clear sky
344,Ventanas,EC,-1.45,-79.47,76.01,67,7,3.06,clear sky
345,Hofn,IS,64.25,-15.21,48.51,81,99,2.86,overcast clouds
346,Tabou,CI,4.42,-7.35,82.2,69,1,10.16,clear sky
347,Kodinar,IN,20.79,70.7,81.07,81,0,9.57,clear sky
348,Truro,GB,50.27,-5.05,53.6,81,75,38.03,light rain
349,Mecca,SA,21.43,39.83,95.97,34,4,18.52,clear sky
350,Maragogi,BR,-9.01,-35.22,80.49,71,36,11.14,scattered clouds
351,Montepuez,MZ,-13.13,39.0,93.38,26,92,7.43,overcast clouds
352,Ereymentau,KZ,51.62,73.1,41.63,66,100,11.99,overcast clouds
353,Moroni,KM,-11.7,43.26,76.64,78,90,1.12,overcast clouds
354,Raton,US,36.9,-104.44,39.0,74,1,6.93,clear sky
355,Salinopolis,BR,-0.61,-47.36,84.56,70,4,12.59,clear sky
356,Madawaska,US,47.36,-68.33,35.6,74,90,4.7,overcast clouds
357,Lilongwe,MW,-13.97,33.79,87.8,29,0,13.87,clear sky
358,Troitskoye,RU,52.98,84.68,47.35,63,67,4.85,broken clouds
359,Payakumbuh,ID,-0.22,100.63,72.19,87,98,0.69,overcast clouds
360,Alyangula,AU,-13.85,136.42,78.8,78,12,8.05,few clouds
361,Naze,JP,28.37,129.48,78.8,78,1,5.82,clear sky
362,Khash,IR,28.22,61.22,78.8,16,0,19.6,clear sky
363,Ewo,CG,-0.87,14.82,87.12,56,100,8.43,overcast clouds
364,Kirakira,SB,-10.45,161.92,78.13,80,3,7.31,clear sky
365,Diffa,NE,13.32,12.61,103.19,17,12,7.0,few clouds
366,Kailua,US,21.4,-157.74,78.8,69,1,5.82,clear sky
367,Faya,SA,18.39,42.45,82.4,38,40,9.17,scattered clouds
368,Strezhevoy,RU,60.73,77.59,32.0,98,75,6.71,light snow
369,Kendari,ID,-3.94,122.5,77.02,83,3,4.45,clear sky
370,Brae,GB,60.4,-1.35,53.6,93,75,16.11,light rain
371,Alofi,NU,-19.06,-169.92,75.2,88,100,12.75,overcast clouds
372,Turayf,SA,31.67,38.66,84.2,32,0,6.93,clear sky
373,Paita,PE,-5.09,-81.11,64.92,81,94,7.25,overcast clouds
374,Katherine,AU,-14.47,132.27,80.6,36,95,11.1,overcast clouds
375,Zhanakorgan,KZ,43.91,67.25,62.51,30,0,10.63,clear sky
376,Koroni,GR,36.8,21.95,84.0,58,20,6.93,few clouds
377,Teya,RU,60.38,92.63,44.15,86,100,7.65,overcast clouds
378,Zurrieq,MT,35.83,14.47,80.6,78,100,8.05,overcast clouds
379,Kimbe,PG,-5.55,150.14,76.23,86,6,5.08,clear sky
380,Maneadero,MX,31.72,-116.57,70.9,38,0,2.39,clear sky
381,Nioro,GM,13.35,-15.75,88.99,61,50,3.89,scattered clouds
382,Zlobin,HR,45.29,14.65,71.6,53,20,13.87,few clouds
383,Along,IN,28.17,94.77,73.44,87,15,1.92,light rain
384,Lodja,CD,-3.48,23.43,83.34,70,100,2.3,moderate rain
385,Ende,ID,-8.84,121.66,77.65,79,24,4.21,few clouds
386,Luena,AO,-11.78,19.92,91.4,41,40,8.05,scattered clouds
387,Sikasso,ML,10.92,-7.0,88.39,58,17,3.11,few clouds
388,Yahualica,MX,21.13,-102.85,50.97,74,0,5.84,clear sky
389,Hargeysa,SO,9.56,44.06,81.1,24,0,14.32,clear sky
390,Mujiayingzi,CN,42.12,118.78,41.32,63,0,12.17,clear sky
391,Kushmurun,KZ,52.45,64.63,43.18,59,0,13.47,clear sky
392,Springbok,ZA,-29.66,17.89,78.01,17,0,7.02,clear sky
393,Odweyne,SO,9.41,45.06,85.8,13,0,6.89,clear sky
394,Pontiac,US,42.64,-83.29,48.0,93,90,3.36,light rain
395,Mata,PT,40.68,-7.46,63.0,52,77,13.0,broken clouds
396,Inuvik,CA,68.35,-133.72,39.2,93,40,2.24,scattered clouds
397,Humaita,BR,-7.51,-63.02,89.19,58,73,2.3,broken clouds
398,Namibe,AO,-15.2,12.15,78.8,57,70,19.46,broken clouds
399,Sosnovo-Ozerskoye,RU,52.52,111.54,26.91,91,0,5.08,clear sky
400,Tazovskiy,RU,67.47,78.7,34.29,89,100,16.44,overcast clouds
401,Hobyo,SO,5.35,48.53,82.04,75,2,16.6,clear sky
402,Niamey,NE,13.51,2.11,86.0,62,20,3.36,few clouds
403,Ishikari,JP,43.24,141.35,55.0,100,100,9.08,overcast clouds
404,Kamenka,RU,51.32,42.77,69.01,38,1,8.25,clear sky
405,Volyne,CZ,49.17,13.89,61.0,54,21,1.01,few clouds
406,Gornyy,RU,55.12,83.91,44.24,89,100,8.59,light rain
407,Aksu,CN,41.12,80.26,63.77,27,87,3.67,overcast clouds
408,Glendive,US,47.11,-104.71,35.6,68,1,4.7,clear sky
409,Antofagasta,CL,-23.65,-70.4,55.4,82,90,6.93,overcast clouds
410,Dingle,PH,11.0,122.67,78.71,86,100,2.24,light rain
411,Soyo,AO,-6.13,12.37,82.4,69,75,6.93,broken clouds
412,Margate,GB,51.38,1.39,54.0,85,100,4.0,overcast clouds
413,Kharp,RU,66.8,65.81,35.46,91,100,9.26,overcast clouds
414,Kaz,RU,52.91,87.31,42.55,84,52,1.61,broken clouds
415,Avera,US,33.19,-82.53,53.6,73,1,5.82,clear sky
416,Parfenyevo,RU,58.48,43.41,51.13,64,12,5.95,few clouds
417,Rantepao,ID,-2.97,119.9,67.42,90,100,1.9,light rain
418,Ayan,RU,56.45,138.17,43.61,61,100,14.9,overcast clouds
419,Vohma,EE,58.63,25.55,55.99,89,89,8.01,overcast clouds
420,Salinas,US,36.68,-121.66,62.01,71,1,1.9,clear sky
421,Yafran,LY,32.06,12.53,97.61,13,99,7.02,overcast clouds
422,Osypenko,UA,46.91,36.83,64.0,100,93,21.99,overcast clouds
423,Sorland,NO,67.67,12.69,52.56,77,35,20.67,scattered clouds
424,Ixtapa,MX,20.7,-105.2,73.99,83,5,5.82,clear sky
425,Frunze,UA,48.67,38.75,71.92,20,45,15.55,scattered clouds
426,Hun,LY,29.13,15.95,105.31,7,46,8.93,scattered clouds
427,Nieuwpoort,BE,51.12,2.77,55.99,81,100,20.8,light rain
428,Benghazi,LY,32.12,20.07,89.78,34,0,12.88,clear sky
429,Yancheng,CN,33.39,120.13,57.45,58,100,12.41,light rain
430,Zhangye,CN,38.93,100.45,50.02,43,100,4.52,overcast clouds
431,Kungurtug,RU,50.6,97.52,29.07,88,0,1.36,clear sky
432,Lunenburg,CA,44.38,-64.32,53.01,93,0,1.99,clear sky
433,Mayumba,GA,-3.43,10.66,79.92,79,91,10.6,overcast clouds
434,Shimoda,JP,34.67,138.95,64.99,86,23,1.01,few clouds
435,Yatou,CN,37.15,122.38,53.65,57,0,9.64,clear sky
436,Inhambane,MZ,-23.86,35.38,77.0,78,75,9.17,broken clouds
437,Pangkalanbuun,ID,-2.68,111.62,77.18,81,100,3.47,overcast clouds
438,Laibin,CN,23.7,109.27,80.31,83,1,3.6,light rain
439,Zverinogolovskoye,RU,54.46,64.85,39.99,66,76,9.28,broken clouds
440,Subkhankulovo,RU,54.56,53.81,47.07,57,0,8.75,clear sky
441,Omsukchan,RU,62.53,155.8,32.86,90,97,4.94,overcast clouds
442,Wamba,NG,8.93,8.6,89.64,57,31,2.8,scattered clouds
443,Pemangkat,ID,1.17,108.97,76.12,91,100,3.51,light rain
444,Angoche,MZ,-16.23,39.91,82.4,61,9,10.25,clear sky
445,Anadyr,RU,64.75,177.48,32.0,85,90,6.71,light snow
446,Vila,PT,42.03,-8.16,55.0,87,97,7.0,light rain
447,Madang,PG,-5.22,145.8,78.08,86,13,1.7,few clouds
448,Kismayo,SO,-0.36,42.55,82.53,72,0,15.86,clear sky
449,Manokwari,ID,-0.87,134.08,79.14,78,100,6.2,overcast clouds
450,Palestine,PS,31.92,35.2,84.2,51,40,12.75,scattered clouds
451,Skegness,GB,53.14,0.34,54.0,81,75,10.29,broken clouds
452,Qandala,SO,11.47,49.87,85.08,59,32,6.38,scattered clouds
453,Belmonte,BR,-15.86,-38.88,78.8,69,75,9.17,broken clouds
454,Balkhash,KZ,46.84,74.98,54.12,53,0,11.14,clear sky
455,Honolulu,US,21.31,-157.86,78.8,73,20,3.36,few clouds
456,Robertsport,LR,6.75,-11.37,80.6,80,32,16.2,light rain
457,Harqalah,TN,36.03,10.51,79.0,44,0,11.41,clear sky
458,Kashi,CN,39.45,75.98,66.2,20,40,6.71,scattered clouds
459,Ortigueira,BR,-24.21,-50.95,74.82,56,7,7.14,clear sky
460,Tommot,RU,58.96,126.29,28.17,90,0,2.24,clear sky
461,Choya,RU,52.01,86.55,44.74,72,92,1.12,overcast clouds
462,Garissa,KE,-0.45,39.64,97.54,22,0,15.86,clear sky
463,Linhares,BR,-19.39,-40.07,84.74,60,91,10.02,overcast clouds
464,Kuldur,RU,49.22,131.63,42.35,86,100,4.52,light rain
465,Hereford,GB,52.06,-2.71,53.01,93,100,12.3,overcast clouds
466,Stratford-Upon-Avon,GB,52.19,-1.71,54.0,99,100,7.83,overcast clouds
467,Morehead,US,37.27,-87.18,57.2,100,90,7.92,overcast clouds
468,Izumo,JP,35.37,132.77,69.8,94,75,6.93,broken clouds
469,Hastings,GB,50.86,0.57,54.0,93,40,14.99,scattered clouds
470,Palizada,MX,18.25,-92.08,80.6,69,75,8.05,broken clouds
471,Chapais,CA,49.78,-74.85,33.8,86,90,5.82,overcast clouds
472,Paamiut,GL,61.99,-49.67,33.4,85,2,12.24,clear sky
473,Sochi,RU,43.6,39.73,73.4,69,20,11.18,few clouds
474,Natal,BR,-5.79,-35.21,80.6,78,75,11.41,broken clouds
475,Wilmington,US,34.23,-77.94,57.99,93,90,11.41,light rain
476,Aklavik,CA,68.22,-135.01,39.2,93,40,2.24,scattered clouds
477,Itupiranga,BR,-5.13,-49.33,78.8,88,75,4.7,broken clouds
478,Waingapu,ID,-9.66,120.26,78.55,72,83,6.4,broken clouds
479,Tsagveri,GE,41.8,43.48,62.38,58,100,4.83,light rain
480,Maniitsoq,GL,65.42,-52.9,30.07,86,0,5.35,clear sky
481,Isiro,CD,2.77,27.62,85.37,58,97,1.74,overcast clouds
482,Bima,ID,-8.47,118.72,77.92,78,82,4.18,broken clouds
483,Komsomolskiy,UZ,40.43,71.72,73.4,20,100,6.93,overcast clouds
484,Pascagoula,US,30.37,-88.56,57.2,87,1,8.93,clear sky
485,Tongren,CN,27.72,109.19,58.82,87,100,10.02,light rain
486,Nantucket,US,41.28,-70.1,60.01,76,1,5.82,clear sky
487,Palana,RU,59.12,159.97,37.08,80,96,5.01,overcast clouds
488,Nabire,ID,-3.37,135.48,75.33,87,100,3.58,overcast clouds
489,Wundanyi,KE,-3.4,38.36,79.59,31,57,14.99,broken clouds
490,Ambon,ID,-3.7,128.18,78.01,94,40,4.7,scattered clouds
491,Sisimiut,GL,66.94,-53.67,28.09,89,0,5.46,clear sky
492,Turukhansk,RU,65.82,87.98,37.67,89,100,14.67,overcast clouds
493,Beringovskiy,RU,63.05,179.32,33.04,91,83,12.26,broken clouds
494,Auki,SB,-8.77,160.7,77.76,84,1,4.88,clear sky
495,Abilene,US,32.45,-99.73,55.4,66,1,4.7,clear sky
496,Ipiales,CO,0.83,-77.65,51.21,81,58,5.95,broken clouds
497,Seoul,KR,37.57,126.98,55.4,54,1,4.7,clear sky
498,Simiti,CO,7.96,-73.94,74.61,87,100,1.36,overcast clouds
499,Isangel,VU,-19.55,169.27,70.11,79,3,11.41,clear sky
500,Derzhavinsk,KZ,51.1,66.32,44.1,60,100,16.51,overcast clouds
501,Alugan,PH,12.22,125.48,81.32,80,100,5.1,overcast clouds
502,Necochea,AR,-38.55,-58.74,48.99,68,9,3.0,clear sky
503,Upornaya,RU,44.39,41.02,69.13,55,8,11.65,clear sky
504,Teruel,ES,40.67,-0.67,69.8,47,94,24.16,overcast clouds
505,Taoudenni,ML,22.68,-3.98,102.88,15,59,4.32,broken clouds
506,Timizart,DZ,36.8,4.27,75.45,22,8,9.64,clear sky
507,Mahon,ES,39.89,4.27,71.6,43,0,24.16,clear sky
508,Edd,ER,13.93,41.69,96.1,31,0,16.08,clear sky
509,Iracoubo,GF,5.48,-53.2,84.07,74,6,8.7,clear sky
510,Merauke,ID,-8.47,140.33,79.34,85,100,13.82,light rain
511,Ocotitlan,MX,19.23,-99.62,42.8,87,5,2.86,clear sky
512,Bubaque,GW,11.28,-15.83,82.72,71,18,7.7,few clouds
513,Shuiji,CN,27.42,118.34,73.85,90,96,4.38,light rain
514,Manono,CD,-7.3,27.42,96.94,26,4,4.21,clear sky
515,Lubango,AO,-14.92,13.49,88.43,20,54,4.27,broken clouds
516,Miyako,JP,39.64,141.95,64.54,83,100,8.95,light rain
517,Nuuk,GL,64.18,-51.72,28.4,86,0,6.93,clear sky
518,Manicore,BR,-5.81,-61.3,91.54,53,48,2.26,scattered clouds
519,Maningrida,AU,-12.07,134.27,79.97,78,59,14.05,broken clouds
520,Pasighat,IN,28.07,95.33,79.11,80,42,2.19,light rain
521,Moron,AR,-34.65,-58.62,57.99,87,90,8.05,overcast clouds
522,Beira,MZ,-19.84,34.84,82.4,69,40,19.46,scattered clouds
523,Galveston,US,29.37,-94.97,71.01,88,1,8.05,clear sky
524,Pundaguitan,PH,6.37,126.17,84.47,76,98,7.85,light rain
525,Mildura,AU,-34.2,142.15,77.0,47,90,12.75,light rain
526,Teknaf,BD,20.86,92.31,81.88,84,100,5.75,moderate rain
527,Svetlaya,RU,46.54,138.33,52.05,73,4,4.52,clear sky
528,Freeport,US,40.66,-73.58,61.0,69,0,4.0,clear sky
529,Nhamunda,BR,-2.19,-56.71,88.66,56,99,2.71,overcast clouds
530,Esna,EG,25.29,32.55,100.4,22,0,9.17,clear sky
531,Tecoanapa,MX,16.52,-98.75,75.78,75,13,4.83,few clouds
532,Bartica,GY,6.4,-58.62,84.2,79,20,6.93,few clouds
533,Chumikan,RU,54.72,135.31,41.88,65,100,6.67,overcast clouds
534,Dwarka,IN,22.24,68.97,83.3,70,0,10.27,clear sky
535,Saint-Augustin,CA,51.23,-58.65,46.13,61,75,2.37,broken clouds
536,Shelburne,CA,44.08,-80.2,42.01,100,90,6.31,moderate rain
537,Ingham,US,42.6,-84.38,45.0,100,75,7.36,mist
538,Kulachi,PK,31.93,70.46,91.54,11,0,6.15,clear sky
539,Camapua,BR,-19.53,-54.04,98.13,15,0,9.08,clear sky
540,Pegnitz,DE,49.76,11.54,60.01,67,9,11.88,clear sky
541,Beterou,BJ,9.2,2.26,85.3,69,66,3.24,broken clouds
542,Bilma,NE,18.69,12.92,105.64,9,59,10.94,broken clouds
543,Pernik,BG,42.6,23.03,77.0,47,99,18.34,overcast clouds
544,Codrington,AU,-38.27,141.97,48.9,92,100,15.46,light rain
545,Mugur-Aksy,RU,50.35,90.5,30.79,87,10,3.96,clear sky
546,Mechetinskaya,RU,46.77,40.46,68.49,27,88,16.42,overcast clouds
547,Sangar,RU,63.92,127.47,31.05,99,99,3.71,overcast clouds
548,Lingdong,CN,46.57,131.15,41.97,89,100,3.58,moderate rain
549,Kutum,SD,14.2,24.67,87.1,29,67,9.17,broken clouds
550,Vinstra,NO,61.6,9.75,52.41,80,100,4.61,overcast clouds
551,Namwala,ZM,-15.75,26.44,102.61,10,6,8.99,clear sky
552,Male,MV,4.17,73.51,84.2,74,75,18.34,broken clouds
553,Buchanan,LR,5.88,-10.05,84.2,74,75,11.41,broken clouds
554,Williston,US,48.15,-103.62,41.0,80,1,6.38,clear sky
555,Bagdarin,RU,54.43,113.6,25.84,89,0,4.23,clear sky
556,Monywa,MM,22.12,95.13,85.12,69,98,4.5,overcast clouds
557,Naifaru,MV,5.44,73.37,82.42,77,0,12.46,clear sky
558,Yongan,CN,39.7,113.69,38.07,65,0,3.15,clear sky
559,Vanimo,PG,-2.67,141.3,79.66,83,60,5.48,broken clouds
560,Polyarnyy,RU,69.2,33.45,53.6,62,0,6.71,clear sky
561,Bongandanga,CD,1.5,21.05,76.89,91,100,4.68,moderate rain
562,Kidal,ML,18.44,1.41,97.83,23,8,2.1,clear sky
563,Virtsu,EE,58.57,23.51,57.99,81,65,8.99,broken clouds
564,Long,TH,18.08,99.83,78.8,78,94,2.24,overcast clouds
565,Piacabucu,BR,-10.41,-36.43,82.09,63,94,11.61,overcast clouds
566,Zhuhai,CN,22.28,113.57,86.0,78,0,4.7,light rain
567,Bara,NG,10.37,10.73,91.9,44,100,3.6,overcast clouds
568,Mitu,CO,1.2,-70.17,79.45,83,11,1.34,light rain
569,Brownsville,US,25.9,-97.5,70.0,93,1,2.68,clear sky
570,Kampot,KH,10.62,104.18,82.4,83,40,5.82,scattered clouds
571,Barbalha,BR,-7.31,-39.3,92.32,30,40,5.48,scattered clouds
572,Pesochnoye,RU,58.01,39.18,58.59,68,99,9.55,overcast clouds
573,Aldan,RU,58.6,125.39,25.54,91,36,2.28,scattered clouds
574,Jackson,US,42.42,-122.83,53.01,66,1,4.7,clear sky
575,Asfi,MA,32.3,-9.24,72.32,51,0,21.74,clear sky
576,Inirida,CO,3.87,-67.92,79.54,85,93,1.81,overcast clouds
577,Laje,BR,-10.18,-40.97,85.53,30,90,10.58,overcast clouds
578,Kudahuvadhoo,MV,2.67,72.89,82.58,75,100,10.4,moderate rain
579,Kamogawa,JP,35.1,140.1,73.4,83,75,6.93,broken clouds
